accuracy,loss,val_accuracy,val_loss
0.9550666809082031,0.1573767513036728,0.9692000150680542,0.10095659643411636
0.9864333271980286,0.04638935253024101,0.9700999855995178,0.08931156992912292
0.989300012588501,0.03535720333456993,0.9879000186920166,0.03370217978954315
0.9910500049591064,0.02806403860449791,0.9876999855041504,0.042394597083330154
0.9921833276748657,0.025419222190976143,0.9864000082015991,0.04464532062411308
0.9932666420936584,0.02210460603237152,0.9900000095367432,0.03472527116537094
0.9935833215713501,0.020043225958943367,0.9865000247955322,0.04627062752842903
0.9944999814033508,0.01697133295238018,0.9864000082015991,0.04746177792549133
0.9952333569526672,0.01521897129714489,0.9923999905586243,0.024092162027955055
0.9959333539009094,0.013583631254732609,0.9904000163078308,0.033022210001945496
0.9961166381835938,0.013065448962152004,0.9927999973297119,0.028245653957128525
0.9957333207130432,0.0126702431589365,0.9887999892234802,0.0385141484439373
0.9963833093643188,0.011116120032966137,0.992900013923645,0.02582389861345291
0.9972666501998901,0.008971007540822029,0.9908000230789185,0.032657839357852936
0.9970499873161316,0.008581135421991348,0.9908000230789185,0.03422381728887558
0.9974166750907898,0.007882905192673206,0.9940000176429749,0.027349179610610008
0.9973499774932861,0.008217284455895424,0.9887999892234802,0.04422266408801079
0.9979166388511658,0.007263630628585815,0.9932000041007996,0.026489926502108574
0.9975666403770447,0.007137154694646597,0.9909999966621399,0.03445893153548241
0.9979833364486694,0.006046548020094633,0.9939000010490417,0.02527351677417755
